seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_bmi
277,102,drugs_alcohol,493,cvd_ihd,309678,9023,0,continuous,gday,-0.139262067,0.307135919,0,0,6.667950514,10.00192577,0,1,1
278,102,drugs_alcohol,493,cvd_ihd,428498,9023,0,continuous,gday,0.104360015,0.036835333,0,20.00000002,40.00000004,59.85714292,0,1,1
279,102,drugs_alcohol,493,cvd_ihd,428498,9023,0,continuous,gday,0.122217633,0.040721976,0,20.00000002,60.00000006,90.00000009,0,1,1
280,102,drugs_alcohol,493,cvd_ihd,428498,9023,0,continuous,gday,-0.174353387,0.06639875,0,10.00000001,10.00000001,15.00000002,0,1,1
281,102,drugs_alcohol,493,cvd_ihd,309692,9023,0,continuous,gday,-0.544727175,0.105237825,0,1.571428571,32,48,0,1,1
282,102,drugs_alcohol,493,cvd_ihd,309692,9023,0,continuous,gday,-0.301105093,0.096367986,0,1.571428571,1.571428571,9.428571426,0,1,1
283,102,drugs_alcohol,493,cvd_ihd,309692,9023,0,continuous,gday,-0.430782916,0.089126439,0,1.571428571,11,20.42857142,0,1,1
284,102,drugs_alcohol,493,cvd_ihd,309678,9023,0,continuous,gday,0,0.764217417,0,0,33.33975257,50.00962886,0,1,1
285,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,0.048790164,0.207678518,0,0,0.142857143,10.00000001,0,1,1
286,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.210721031,0.247647683,0,0,10.00000001,20.00000002,0,1,1
287,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.210721031,0.296722145,0,0,20.00000002,30.00000003,0,1,1
288,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.371063681,0.275970707,0,0,30.00000003,45.00000005,0,1,1
289,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.446287103,0.289535697,0,0,0.142857143,10.00000001,0,1,1
290,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.597837001,0.36519157,0,0,10.00000001,15.00000002,0,1,1
