seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age
364,102,drugs_alcohol,976,diabetes_typ2,413829,9023,0,continuous,gday,-0.0725706928348354,0.0733882837887196,0,1.71428571428571,3.42857142857143,12,0,0
365,102,drugs_alcohol,976,diabetes_typ2,413829,9023,0,continuous,gday,-0.174353387144778,0.0909885061068195,0,1.71428571428571,13.7142857142857,24,0,0
366,102,drugs_alcohol,976,diabetes_typ2,413829,9023,0,continuous,gday,-0.210721031315653,0.0943924385490859,0,1.71428571428571,25.7142857142857,38.5714285714286,0,0
367,102,drugs_alcohol,976,diabetes_typ2,309614,9023,0,continuous,gday,-0.2484613592985,0.111534134291516,0,0,1,4.9,0,0
368,102,drugs_alcohol,976,diabetes_typ2,309614,9023,0,continuous,gday,-0.616186139423817,0.140078523045155,0,0,5,14.9,0,0
369,102,drugs_alcohol,976,diabetes_typ2,309614,9023,0,continuous,gday,-0.3147107448397,0.152036589823035,0,0,15,22.5,0,0
370,102,drugs_alcohol,976,diabetes_typ2,413853,9023,0,continuous,gday,-0.116533816255952,0.0824558698651001,0,0,0,5,0,0
371,102,drugs_alcohol,976,diabetes_typ2,413853,9023,0,continuous,gday,-0.23572233352107,0.102123395052996,0,0,5,10,0,0
372,102,drugs_alcohol,976,diabetes_typ2,413853,9023,0,continuous,gday,-0.198450938723838,0.108537187452764,0,0,10,20,0,0
373,102,drugs_alcohol,976,diabetes_typ2,413853,9023,0,continuous,gday,-0.22314355131421,0.125406699448496,0,0,20,30,0,0
374,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,-0.0725706928348354,0.0932971376170026,1,6,0,0,0,0
375,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,-0.105360515657826,0.0758294702724315,1,6,6.1,12,0,0
376,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,-0.0618754037180875,0.0710152244360886,1,6,12.1,24,0,0
377,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,-0.150822889734584,0.0682345319220055,1,6,24.1,60,0,0
378,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,-0.2484613592985,0.104781164594135,1,6,60.1,96,0,0
379,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,0.0676586484738149,0.166685421405722,1,6,96.1,144.15,0,0
380,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,0.0953101798043249,0.0532911210710884,1,6,0,0,0,0
381,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,-0.198450938723838,0.0625312392941288,1,6,6.1,12,0,0
382,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,-0.139262067333508,0.0674455382265966,1,6,12.1,24,0,0
383,102,drugs_alcohol,976,diabetes_typ2,309581,9023,0,continuous,gday,-0.116533816255952,0.0824558698651001,1,6,24.1,36.15,0,0
384,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,-0.162518929497775,0.705770039605428,0,0,1,5,0,1
385,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,0.148420005118273,0.654936305867111,0,0,5.1,10,0,1
386,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,-0.150822889734584,0.650202529907972,0,0,10.1,20,0,1
387,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,0.148420005118273,0.67086683780675,0,0,20.1,30,0,1
388,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,0.993251773010283,0.615403113704015,0,0,30.1,45.15,0,1
389,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,-0.105360515657826,0.564268042021917,0,0,1,5,0,1
390,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,-0.371063681390832,0.653288917542327,0,0,5.1,10,0,1
391,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,-0.174353387144778,0.656870612613704,0,0,10.1,20,0,1
392,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,0.378436435720245,0.774375961158332,0,0,20.1,30,0,1
393,102,drugs_alcohol,976,diabetes_typ2,529752,9023,0,continuous,gday,-0.776528789498996,1.13091707174701,0,0,30.1,45.15,0,1
394,102,drugs_alcohol,976,diabetes_typ2,413823,9023,0,continuous,gday,0.0392207131532813,0.131584991142099,0,0,1,4.9,0,0
395,102,drugs_alcohol,976,diabetes_typ2,413823,9023,0,continuous,gday,-0.150822889734584,0.134909216650171,0,0,5,29.9,0,0
396,102,drugs_alcohol,976,diabetes_typ2,413823,9023,0,continuous,gday,-0.415515443961666,0.163178187655347,0,0,30,69.9,0,0
397,102,drugs_alcohol,976,diabetes_typ2,309599,9023,0,continuous,gday,-0.22314355131421,0.0955850636330129,0,0,1,4.9,0,0
398,102,drugs_alcohol,976,diabetes_typ2,309599,9023,0,continuous,gday,-0.400477566597125,0.147095245995917,0,0,5,14.9,0,0
399,102,drugs_alcohol,976,diabetes_typ2,309599,9023,0,continuous,gday,-0.867500567704723,0.383693213463335,0,0,15,29.9,0,0
400,102,drugs_alcohol,976,diabetes_typ2,309599,9023,0,continuous,gday,-0.2484613592985,0.422301792264266,0,0,30,45,0,0
401,102,drugs_alcohol,976,diabetes_typ2,309593,9023,0,continuous,gday,0.139761942375159,0.148623802591868,0,1.71428571428571,0,0,0,0
402,102,drugs_alcohol,976,diabetes_typ2,309593,9023,0,continuous,gday,-0.0202027073175195,0.165809951197637,1.71428571428571,1.71428571428571,1.88571428571429,12,0,0
403,102,drugs_alcohol,976,diabetes_typ2,309593,9023,0,continuous,gday,-0.462035459596559,0.287247771136792,1.71428571428571,1.71428571428571,12.1714285714286,24,0,0
404,102,drugs_alcohol,976,diabetes_typ2,309593,9023,0,continuous,gday,-0.616186139423817,0.501814376710693,1.71428571428571,1.71428571428571,24.1714285714286,36,0,0
405,102,drugs_alcohol,976,diabetes_typ2,309593,9023,0,continuous,gday,-1.10866262452161,0.744329268388847,1.71428571428571,1.71428571428571,36.1714285714286,54.2571428571429,0,0
406,102,drugs_alcohol,976,diabetes_typ2,309593,9023,0,continuous,gday,0.165514438477573,0.201137081725579,0,1.71428571428571,0,0,0,0
407,102,drugs_alcohol,976,diabetes_typ2,309593,9023,0,continuous,gday,0.113328685307003,0.167195625657423,1.71428571428571,1.71428571428571,1.88571428571429,12,0,0
408,102,drugs_alcohol,976,diabetes_typ2,309593,9023,0,continuous,gday,-0.174353387144778,0.204837256777335,1.71428571428571,1.71428571428571,12.1714285714286,24,0,0
409,102,drugs_alcohol,976,diabetes_typ2,309593,9023,0,continuous,gday,-0.0943106794712413,0.247923618119634,1.71428571428571,1.71428571428571,24.1714285714286,36,0,0
