seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_otherdrug
43,102,drugs_alcohol,417,neo_liver,296151,9023,0,continuous,gday,1.53901544813755,0.420383722770892,0,0,63.99,95.985,0,1,1
44,102,drugs_alcohol,417,neo_liver,298283,9023,0,continuous,gday,0.993251773010283,0.489010870454607,0,0,42.66,63.99,1,0,1
45,102,drugs_alcohol,417,neo_liver,296145,9023,0,continuous,gday,0.0953101798043249,0.0938073418687034,0,0,25,49.9,1,0,1
46,102,drugs_alcohol,417,neo_liver,296146,9023,0,continuous,gday,1.16315080980568,0.261697177139204,0,0,56,84,0,0,1
47,102,drugs_alcohol,417,neo_liver,296146,9023,0,continuous,gday,0.336472236621213,0.28025823690513,0,0,28,56,0,0,1
48,102,drugs_alcohol,417,neo_liver,296141,9023,0,continuous,gday,-0.127833371509885,0.193287168800387,0,0,42.606,63.12,0,0,1
49,102,drugs_alcohol,417,neo_liver,296140,9023,0,continuous,gday,1.47247205736094,0.554313079001406,0,0,40,60,0,1,0
50,102,drugs_alcohol,417,neo_liver,296141,9023,0,continuous,gday,0.0198026272961797,1.01110473535053,0,0,42.606,63.12,0,0,1
51,102,drugs_alcohol,417,neo_liver,296154,9023,0,continuous,gday,0.587786664902119,0.411843228047229,0,0,21.303,40.4757,0,0,1
52,102,drugs_alcohol,417,neo_liver,296149,9023,0,continuous,gday,0.215111379616945,0.322874074829407,0,0,0.0333333333333333,83.3333333333333,0,0,1
53,102,drugs_alcohol,417,neo_liver,296142,9023,0,continuous,gday,-0.22314355131421,0.673228910616137,0,0,42.66,61.857,0,0,1
54,102,drugs_alcohol,417,neo_liver,296156,9023,0,continuous,gday,1.4655675420144,0.418268740013598,1,79,80,120,0,1,1
55,102,drugs_alcohol,417,neo_liver,296141,9023,0,continuous,gday,-0.356674943938732,0.176823260346925,0,0,0.789,41.817,0,0,1
56,102,drugs_alcohol,417,neo_liver,296153,9023,0,continuous,gday,1.43508452528932,0.602628655024405,0,9,80,120,0,1,1
57,102,drugs_alcohol,417,neo_liver,296153,9023,0,continuous,gday,-0.105360515657826,0.39748587195065,0,9,10,79,0,1,1
58,102,drugs_alcohol,417,neo_liver,296158,9023,0,continuous,gday,1.31908561142644,1.64182057916427,0,0,34.6301369863014,71.4246575342466,0,0,1
59,102,drugs_alcohol,417,neo_liver,296146,9023,0,continuous,gday,-0.510825623765991,0.20686995311641,0,0,1,28,0,0,1
60,102,drugs_alcohol,417,neo_liver,296149,9023,0,continuous,gday,0.2390169004705,0.445595864248495,0,0,83.3333333333333,166.666666666667,0,0,1
61,102,drugs_alcohol,417,neo_liver,296148,9023,0,continuous,gday,0.53062825106217,0.360636054925512,0,0,0.79,63.2,0,1,1
62,102,drugs_alcohol,417,neo_liver,296149,9023,0,continuous,gday,1.3244189574018,0.472911086172352,0,0,166.666666666667,250,0,0,1
63,102,drugs_alcohol,417,neo_liver,296142,9023,0,continuous,gday,2.16332302566054,0.701428368371194,0,0,63.99,83.187,0,0,1
64,102,drugs_alcohol,417,neo_liver,296159,9023,0,continuous,gday,0.154179250847674,0.25843725193481,0,9,10,39,0,1,1
65,102,drugs_alcohol,417,neo_liver,296142,9023,0,continuous,gday,1.41098697371026,0.669894195930588,0,0,0,19.197,0,0,1
66,102,drugs_alcohol,417,neo_liver,296143,9023,0,continuous,gday,1.01884732019925,0.316382804775071,0,0,50,75,0,0,1
67,102,drugs_alcohol,417,neo_liver,298283,9023,0,continuous,gday,0.693147180559945,0.472546962001145,0,0,1,40.527,1,0,1
68,102,drugs_alcohol,417,neo_liver,296143,9023,0,continuous,gday,0.0861776962410524,0.185079710474994,0,0,1,50,0,0,1
69,102,drugs_alcohol,417,neo_liver,296151,9023,0,continuous,gday,0.0288789595503768,1.5680673418093,0,0,63.99,95.985,0,1,1
70,102,drugs_alcohol,417,neo_liver,296145,9023,0,continuous,gday,0.182321556793955,0.103434976558205,0,0,50,99.9,1,0,1
71,102,drugs_alcohol,417,neo_liver,296160,9023,0,continuous,gday,0.169911536717273,0.70543132790623,0,0,21,40,0,1,1
72,102,drugs_alcohol,417,neo_liver,296145,9023,0,continuous,gday,0,0.0511915039444263,0,0,1,24.9,1,0,1
73,102,drugs_alcohol,417,neo_liver,296160,9023,0,continuous,gday,0.351431219615679,0.683265056327123,0,0,1,20,0,1,1
74,102,drugs_alcohol,417,neo_liver,296151,9023,0,continuous,gday,-1.14507516307845,0.76807248490414,0,0,21.33,42.66,0,1,1
75,102,drugs_alcohol,417,neo_liver,296156,9023,0,continuous,gday,0.845868267577609,1.57355477253533,1,39,40,60,0,1,1
